Title,URL,Address,Compensation,Employment Type,Description
Architect/Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-designer/7046974455.html,New York,Compensation commensurate with experience,full-time,"
        
We are an established and awarded small architectural firm located in Manhattan. Our projects cover public buildings and educational facilities. We are looking to hire talented individuals who have the potential and ambition for growth towards positions in office leadership.
Our office organization enables staff members a hands-on experience. Working on multiple projects and different phases of work, including design, construction documents and job administration. Our transparent office environment provides exposure to all aspects of the practice.
Qualifications:
•	Be a US citizen or be permitted to work in the USA
•	Professional degree in Architecture
•	Skill in Autocad and presentation software. Revit capability a plus.
•	USA experience in design, detailing and construction administration.
•	Verbal and writing abilities.
Work description:
•	Participate in the design and production of multiple projects at all design and project administration phases.
•	Attend site meetings and prepare minutes. Observe and document progress and quality of construction work.
•	Communicate with in-house staff, consultants and clients.
•	Demonstrate skill in the use of drafting and presentation software.

We offer competitive salaries, health coverage and profit sharing.
Interested candidates should email a cover letter, resume, work samples and requested compensation in PDF format.
    "
Senior Architect,https://newyork.craigslist.org/mnh/egr/d/senior-architect/7047008321.html,Flatiron,Please forward your salary requirements,full-time,"
        
Senior Architect
Nelligan White Architects is a 25‐person firm located in New York’s Flatiron district. The majority of our design work is focused on municipal, cultural, education and multi‐residential housing projects, and we have been recognized for our expertise in resilience master planning and sustainability.

Ideal applicants will demonstrate the following attributes:

•	Highly motivated
•	The ability to work independently and leading a team
•	Exemplary verbal and written communication
•	Senior level work experience with all phases of design and construction administration
•	Be a conceptual thinker with strong technical skills (design and drawing)
•	Experience providing detailed construction documents 
•	Experience writing specifications
•	The ability to work efficiently in a fast-paced environment

Responsibilities & Duties
•	Prepare original architectural plans, diagrams and data visualization.
•	Lead design assignments and supervise team progress.
•	Independently evaluate, select and apply standard planning techniques, procedures, and criteria
•	Using judgment for minor adaptations and modifications.
•	Recommend procedures in planning matters.
•	Work from plans/designs of others to compile data and perform design computations.
•	Assist in writing specifications.
•	Visits construction sites to gather information.
•	Receives instruction on specific assignment objectives and independently provides solutions for these objectives.
•	Support Principal/Partners on large projects.
•	Manage a team of intermediate to junior designers

Qualifications
•	10 years’ experience with a professional degree in Architecture and license preferred
•	High proficiency with AutoCAD. Adobe Suite and Revit knowledge is a plus.
•	Strong analytical and conceptual skills and ability to grasp complex functional program requirements.
•	Effective verbal and written communication skills.
•	The ability to work well leading a team environment with a collaborative and professional work ethic.
•	Experience working with large public agencies is a plus

Apply with the following items attached as one PDF in a zip file, Please enter “Intermediate Architect” in the subject line.
•	Cover letter
•	Resume in PDF format
•	Portfolio and work samples include renderings and construction document samples
•	Salary requirements
•	Two references that you have worked directly with in the last five years

Nelligan White Architects offers a competitive salary and benefits package, which includes: medical, dental and vision insurance, flexible spending account, disability insurance, paid time off, holiday pay and 401(k) participation. This is a full‐time, exempt position.

Nelligan White Architects, PLLC provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. Nelligan White Architects expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability or veteran status.







    "
ARCHITECT,https://newyork.craigslist.org/brk/egr/d/brooklyn-architect/7047024319.html,,fee per job,contract,"
        
looking for a architect with NYS licence and registered in NYC to review and consult construction drawings for  legality and work together on the job.
Please send you resume along with your licence #    "
CAD/ESTIMATING/TAKE OFF SPECIALIST,https://newyork.craigslist.org/que/egr/d/college-point-cad-estimating-take-off/7047414021.html,Flushing/College Point,salary plus commission,full-time,"
        
Busy iron work shop/overhead door company looking for experienced individuals.

Must have;
5 years experience with CAD
5 years experience with iron works and or overhead doors
2 years of prior internet/ebay/sales experience


Duties include but not limited to;
viewing drawings and specifications
preparing pricing sheet for each project
contacting outside vendors/contractors for pricing
preparing shop drawings and submittal packages
AIA invoicing 
keeping track of bid due dates    "
Auto Cad Draftsperson/Landscape Designer,https://newyork.craigslist.org/lgi/egr/d/sound-beach-auto-cad-draftsperson/7047490991.html,Miller Place,tbd,part-time,"
        
Landscape Designer/ Assistant to Principal /Drafts Person (Miller Place).  Landscape Design/Build/Furnish Firm currently seeking a qualified individual with experience in Auto Cad, SketchUp or other rendering software, Microsoft Office and Photoshop. Position available for a mature, disciplined, self motivated, honest, hard working, and committed individual.
Part time independent contracting position. Flexible hours, office and field work. Competitive pay. Comfortable office setting with ability to work from home, working on exciting high-end residential landscape design / build projects. 
Candidate must own their own Auto-Cad program, Lap-top and transportation. Candidate will be involved in design, construction details, estimating, field supervision and drafting. 
Please send resume and cover letter. No resumes with residency outside of Suffolk County, NY will be considered. Please have the experience and examples of design work before applying.
    "
Project Architect/ Project Manager,https://newyork.craigslist.org/mnh/egr/d/brooklyn-project-architect-project/7047630539.html,Midtown,Competitive salary and benefits package based on skills and experience,full-time,"
        
Architectural firm seeking a candidate with 7-10 years’ experience in architectural and interior design to provide quality control and construction administration focusing on interior finishes and detailing for a large public project in midtown Manhattan.

Responsibilities:
- Full time position at Manhattan midtown Field Office to oversee and manage schedule of mock-ups and samples of interior finishes
- Coordination of Architectural and Interior details with contractor during the construction phase.
- Coordination with design drawings during the construction process 
- Quality control of construction and mock-ups. Coordination and verification of materials, finishes and details.
- Communication with design team to resolve design/ technical related items prior to fabrication/ installation.  
- Review of contractor's shop drawings in Construction Administration phase to guarantee compliance of  with architectural design intent.

Requirements:
- Willing to work full time for +/- 1 year at the site office.
- B Arch degree is a minimum requirement.
- 7 - 10 years of experience in all phases of architectural and interior design, construction documents and construction administration. 
- Experience in construction administration of large scale projects desirable.
- Proficiency in AutoCAD and Revit, with experience in construction documents/ interior detailing.
- Good written and verbal communication skills.
- Familiarity with NYC and NYS codes.
- Must be a team player with a good attitude and the ability to work under pressure to meet deadlines when necessary.
- Must be legally authorized to work in the US
- Send a cover letter, resume, portfolio and references (No phone calls or faxes please)    "
Project Manager / Asst Project Manager,https://newyork.craigslist.org/mnh/egr/d/new-york-project-manager-asst-project/7047834657.html,Upper East Side,55-100k dependant on experience,full-time,"
        
We are the top residential design/build firm in the city and we are seeking to fill two positions:  Lead Project Manager and Asst Project Manager.  The positions are available at this time and are centric to Hi -End Residential work

Responsibilities:
•	Monitor all phases of construction
•	Assist with monitoring construction schedules and budgets
•	Coordinate with Clients, Subcontractors and Suppliers
•	Compose Submittals
•	Process Change Orders
•	Post Daily Reports
•	Prepare Meeting Minutes
•	Supervise trades

Requirements
•	Full Knowledge of AutoCad
•	MUST HAVE - Field Project Experience
•	MS Office proficiency
•.      Workplace by Facebook proficiency
•	Ability to read drawings and spec/source materials.

Experience:
•	Minimum 2-year experience as an Assistant Project Manager or equivalent role, preferably in NYC
•	Residential Design / Interiors construction project management experience preferred
•	Experience with all the Microsoft Suite software especially excel.

Compensation:
•	Health benefits
•	Annual performance reviews
•	Salary commensurate with experience
•	End of year holiday bonus
•	Opportunity for financial, professional and personal growth    "
JUNIOR AUTOCAD / PROJECT DESIGNER- RESIDENTIAL RENOVATION: TRHNYC,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-autocad-project/7047837848.html,Upper East Side,55-69k Annual DOE,full-time,"
        
We are The Renovated Home, New York City's premier Design/Build firm at the high end and we are seeking to hire a full-time Project Designer to work on a 1-3 high-end residential projects.

For the Project Designer position in New York City, the applicant must have extensive professional experience and knowledge of residential detailing, shop drawings and superior AutoCAD skills. The qualified candidates will need to be enthusiastic, hard working, well-organized and highly motivated w/excellent verbal and written communications skills. We call our approach from Cradle to College so the project designer is involved in every facet of the project - right through the move in.

Candidates will work directly with the firm's principal and project team to produce highly detailed designs, construction documents and manage all aspects of the projects during construction. Supervision available to assist w/completion of NCARB Intern Development Program.

QUALIFICATIONS

- Minimum (3) Years of Experience in High-end Residential Construction & Detailing
- Technical Expertise in AutoCAD, Expansive Construction Documents Experience
- Proficiency in Adobe Photoshop, 3D Modeling advantageous
- A minimum of (2) professional references.
-Candidates must confirm eligibility/qualifications to work in United States

Job Type: Full-time

Salary: $50,000.00 to $67,000.00 /year    "
Architectural drafter,https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-drafter/7047982499.html,Brooklyn NY,competitive rate,full-time,"
        
Qualifications:
Minimum experience: 3 years in architectural drafting
Strong knowledge of AutoCAD.
Construction Documents Experience
Degree in architecture preferred.
3D modeling / rendering skills 
Basic knowledge of NYC Zoning Regulations and NYC Building Code
Required professional references: 2 min    "
Assistant Construction Project Manager,https://newyork.craigslist.org/brk/egr/d/new-york-assistant-construction-project/7048240104.html,,Competitive,full-time,"
        
Assist PM directly onsite - at least 1 year of construction experience is needed.

We are looking for an individual who is eager to learn, motivated and a go-getter. Please reply with your resume.

Responsibilities and Duties:

Track and document and alert the PM to changes to project scope
Generate and track RFI's, submittals, updated drawings, sketches etc.
Update PM and Site Super on scheduling, deliveries, lead times, dependencies and all specification and plan changes as they occur
Schedule deliveries with suppliers via company office
Weekly Timeline update for PM
Implement site safety program along with PM
Keep detailed daily logs of work performed along with delivery log
Labor management and time tracking of crews, daily sign in for crew
Create, coordinate and manage photo log of projects week to week

Qualifications and Skills:

Clear communication
Concrete and masonry experience desired
Highly organized
Problem-solving
On-time
Excellent Microsoft Excel, Word, Adobe Acrobat and Outlook
Excels in team environment
Able to understand construction drawings
Osha 30 required
62hr SST is a plus

Job Type: Full-time    "
Drafting / Structural / Site Safety Plans,https://newyork.craigslist.org/que/egr/d/new-york-drafting-structural-site/7048264676.html,,Will be discussed,employee's choice,"
        
Looking for CAD drafters, Architectural, Structural, MEP, Safety Plans and Site Safety Plans. 

Please send resume and sample work. Also a sample of any site safety plans you did in NY.    "
Architectural Consultant/Expediter,https://newyork.craigslist.org/mnh/egr/d/architectural-consultant-expediter/7048375317.html,Downtown,Commensurate with experience,full-time,"
        
Building and Zoning Law Consultant is seeking college graduates with Bachelors and/or Masters in Architecture or Engineering and an interest in the Department of Buildings Code Consultation/Expediting for a full time position.  Filing representatives with Class 1 or 2 DOB IDs will also be considered.  

Applicants must have the ability to communicate the items required for approval with colleagues and clients. Must be able to multi-task in order to expedite a large number of projects. Applicants must have strong communication, organizational and computer skills. Microsoft Word, Outlook and Excel experience required. 

Please send resume detailing past experience and include salary requirements.  Experience with NYC Building Code and Zoning Law is preferred but not required.  Please indicate your level of experience in your reply.

We offer a competitive salary based on level of experience along with an extensive benefits package including Metrocards, paid vacation, 401k with Employer match and medical, dental, vision and life insurance.

If this ad is up, the job is available, no matter the posted date. 

We are an Equal Opportunity Employer.
    "
Architect (3-5 Years Experience),https://newyork.craigslist.org/mnh/egr/d/new-york-architect-3-5-years-experience/7050757914.html,Downtown,Compensation will be competitive and will depend on experience,full-time,"
        
Downtown Manhattan architectural firm is seeking architect with a minimum 3-5 years experience. 

Requirements:
-Bachelor of Architecture or Master of Architecture degree
-3-5 Years relevant work experience (including Construction Documents with AutoCAD)
-Legal residency
-Excellent communication and time management skills  

We are currently working on a wide range of residential projects including renovations and new buildings.

You will work as part of our team. You must be detail oriented, hands on and ready for independence and responsibility. You will primarily work on preparing Construction Drawings on AutoCAD and assist in Construction Administration.

Please send cover letter, work samples and resume for consideration.    "
Use LEGO® to teach kids engineering concepts!,https://newyork.craigslist.org/brx/egr/d/bronx-use-lego-to-teach-kids/7050851562.html,,$18.00/hour + excess drive time,part-time,"
        
Are you a tinkerer? Do you enjoy taking things apart and then putting them back together? How about playing with LEGO®? Would you like to use a ridiculous amount of LEGO® materials to teach kids how the world works? If so, then this may be your dream job!


 is an educational enrichment company that introduces children in grades K-8 to STEM concepts using LEGO® components.


We are hiring additional smart, creative, dynamic LEGO® Engineering Instructors to join our team delivering our great programs throughout the NYC Metro area with highest current needs in Brooklyn, Bronx, Queens, Long Island/Nassau County, and Westchester. This part-time position includes teaching daily after-school programs during the school year with some weekend birthday parties or community events, and full day camp programs during the summer.  


Buckle up - this is hard work! Lugging 40 pound totes in and out of your car, leading excited kids through challenging projects, managing classroom conflicts, cleaning up all that LEGO® - 






 We also pay a 3 hour daily class minimum rather than just the hour or so spent in the classroom.   


	
		

	



Visit  to learn more about the job and submit your online application!
 
 

 
 
Find us on Facebook: 
 
 
**This organization is not affiliated with the LEGO® GROUP.**    "
Construction Estimator Required,https://newyork.craigslist.org/brx/egr/d/bronx-construction-estimator-required/7050926280.html,Bronx,Depending on Skills and Experience,full-time,"
        
An established General Contacting Company based in Bronx NY is seeking an estimator to work as full time estimator. Ideal candidate would have sound knowledge and experience with city Projects . Should be familiar with estimating software . Must be able to do complete take offs and do the estimating and also prepare the proposals. Experience of construction field would be an advantage.    "
Experienced Kitchen & Bath Designer Wanted,https://newyork.craigslist.org/mnh/egr/d/experienced-kitchen-bath-designer-wanted/7050980899.html,Midtown West,Compensation: Base salary plus commission,full-time,"
        
We are a high end kitchen & bath showroom looking for a full time candidate with at least 5 years' experience in designing and selecting materials for kitchen and bathroom projects. 
Must have experience is selling kitchen cabinets, tiles, shower systems and all the finish materials that are needed for a kitchen and bath remodeling (preferably in manhattan). 

The candidate must have strong skills with design software (20/20 and CAD is a must), Microsoft Office, and all other standard office equipment/software.

Please submit your resume with references and if your qualifications match our needs, we will contact you shortly.    "
Architect 3-10 years' Experience,https://newyork.craigslist.org/mnh/egr/d/new-york-architect-3-10-years-experience/7051014069.html,Manhattan,Negotiable,full-time,"
        
Terrence O'Neal Architect LLC and ACB Architects, now merged as Tonab Architecture PLLC, seek project manager-level individual for design and construction documents for varied projects for local universities, airport work, and K-12 schools. The ideal candidate will have the following qualifications:

1. Accredited Degree in Architecture: B.Arch or M.Arch from a NAAB-accredited school.
2. Knowledge of Revit is required
3. 3-10 years' NYC experience minimum
4. Ability to handle all phases from design through construction documents    "
Project Manager for Carpeting and Custom Area Rugs Showroom,https://newyork.craigslist.org/mnh/egr/d/project-manager-for-carpeting-and/7051051275.html,Chelsea,"$50,000 to $100,000 per year commensurate with experience; 100% health coverage after 3 months and retirement benefits after one year.",full-time,"
        
This is a full time position for an experienced Project Manager conducting inside sales for high-end commercial and residential floor covering, including carpeting and custom area rugs. Our showroom is in New York City near Union Square.

The successful candidate must posses a minimum of 5 years of experience working in high-end luxury sales, preferably working with architects, interior designers and general contractors.

Other qualifications and requirements are:
- understand urban commercial and residential living concepts, styles and designs.
- proof-of-success includes references for 3 successful completed projects.
- work in harmony with others in an open office environment.
- read and understand a floor plan at ease and not intimidated by complex numbers.
- excellent verbal and writing communication skills.

This is an ideal position for an architect, designer, general contractor who is interested in switching career path.

TO APPLY, please reply via email with your resume and cover letter files attached (pdf, docx, or doc). Please do not copy and paste your information in the body of the email. To be considered, please indicate ""Project Manager"" in the subject line. 
Please visit aronsonsfloors.com to learn more about us.
    "
Senior Drafter/Job Captain,https://newyork.craigslist.org/mnh/egr/d/new-york-senior-drafter-job-captain/7051059147.html,Midtown West,Competitive Salary - DOE,full-time,"
        
SBLM New York is looking for a highly motivated Senior Drafter/Job Captain who has a passion for understanding weather related problems that occur on existing older buildings.

Responsibilities include, but not limited to: 
Coordinate and develop construction documents
Take on technically challenging issues with Project Manager
Perform code and zoning analyses
Review and redline drawings
Oversee drafters as required
Produce deliverables without requiring constant supervision
Organize and lead site visits and surveys
Conduct material research and meet with vendor as necessary, to understand
materials and products
Take initiative to complete work

Requirements:
Bachelor’s Degree in Architecture
3 or more years’ experience in an Architect’s office
Must be proficient in AutoCAD, Revit and other applicable industry software
General understanding of codes and zoning
General knowledge of building details and construction administration 
Experience working with exterior envelope
Positive attitude and driven to succeed

. Compensation and Benefits:
•	We offer an excellent benefit package
•	Benefits include Medical/Dental/Vision insurance plans, 401k Retirement plan, Flexible Spending Plan which includes transportation, parking, and more. 
•	Salary commensurate with level of experience
•	Our company culture features professional learning and growth opportunities, rewarding project types to participate in and free ongoing professional educational program
•	Creative and innovative work environment
.

Interested candidates should forward their cover letter and resume 
Please include Senior Drafter/Job Captain in the subject. No phone calls, please
    "
Draftsman SolidWorks Programming CAD/CAM,https://newyork.craigslist.org/brx/egr/d/bronx-draftsman-solidworks-programming/7051072493.html,Bronx,"TBD, Based on experience. Full benefits package to follow.",full-time,"
        
SolidWorks Draftsman Needed.  Entry level or experienced. We can train for Programming of CAM. Immediate hire, full time, 5 or 6 month position, that could lead to permanent employment. Mechanical Engineering a plus. Excel/Estimating a plus. Bronx designer and manufacturer of Displays. Close to Subway.
Send resume, no cover letter needed.

Principals only.    "
Intermediate Architect - Single-Family/Luxury Custom Homes,https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect-single/7051134047.html,Midtown,Competitive based on years of experience and aligning projects,full-time,"
        
NYC-based mid-sized firm is seeking a talented intermediate level architect with custom luxury residential project experience. This is a hands on full process design studio with potential for professional growth. Applicants should be personable, creative, and have great attention to detail. 

Requirements:
1. B.Arch/M.Arch or an equivalent professional Degree in Interior Design or Interior Architecture
2. A minimum of 3 years of experience in a residential design/architecture position 
3. Display a high level of technical knowledge in custom residential millwork 

This is a chance to work in a collaborative and relationship focused environment with local clients. You will have the ability to carry interesting high quality design projects from start to finish.
    "
Architectural Drafter,https://newyork.craigslist.org/lgi/egr/d/huntington-station-architectural-drafter/7051517894.html,"Huntington Station, NY",salary commensurate with experience,full-time,"
        
SBLM Long Island branch office of NYC based Architectural firm seeks motivated and talented Junior through Senior Architectural Drafter (Architect in Training). 

Requirements:
•	BA Arch or BS Arch degree required
•	AutoCAD required (basic test at interview) Revit a plus
•	2 to 7 years’ experience working in Architects office
•	Excellent communication skills with ability to work well under deadlines

Compensation and Benefits:
•	We offer a competitive salary, excellent benefits package and a creative, innovative work environment. 
•	Our benefits include Medical/Dental/Vision, 401K Plan, Personal Time Off, Paid Holidays, Flexible Spending Plans and more. 
•	Company Culture: learning and growth opportunities, rewarding projects, free educational ongoing learning

Interested candidates should forward their cover letter and resume 
Please include “Architectural Drafter in subject line.  No phone calls, please.
    "
Construction Estimator,https://newyork.craigslist.org/que/egr/d/flushing-construction-estimator/7051532561.html,Flushing Queens,Negotiable,full-time,"
        
-Position: Construction Estimator  (Office Location in Flushing/College Point Area)
-Full Time Employment
-Health Benefits Offered
-Medium Size and Growing Construction Company 
-Fully Operational General Contracting Office-All Resources to be Supplied to Estimator Including Tools/Programs as Needed to enhance job Performance

1) General Construction Estimates to be performed including  jobs from $10,000-$25,000,000+
    -From Minor Reno Work to Ground Up New Construction Work
2) Construction Experience Necessary 
3) Estimator Must have a good grasp of the Means and Methods of Construction
4) 3+ Years Estimating Experience is a Plus
5) Must be capable of producing scope sheets for sub contractors and leveling all GC and Sub Contractor Bids
6)Experience in public entities is a plus.  SCA, NYCHA, Port Authority, MTA & Various Prevailing Wage Jobs


    "
Senior Architect | Restaurant Architecture Firm,https://newyork.craigslist.org/mnh/egr/d/new-york-senior-architect-restaurant/7051552373.html,Midtown,"Up to 110K, depending upon experience level and interview process.",full-time,"
        
Title:Senior Architect - Project Manager | Restaurants

Company Description:
Commercial Architecture + Design Firm that provides professional Architectural, Planning and Design services for restaurants and large retail projects.

Position Description:
Senior Architect - Project Manager with 7 plus years of related experience working with restaurants or food and beverage projects to manage work on fine dining restaurants.Required:Bachelor of Architecture or Masters of Architecture.Project experience must include restaurants.Strong Project management skills.Strong AutoCAD skills.

GREAT COMPENSATION BASED UPON AN ANNUAL SALARY PLUS BENEFITS AND PERKS
Immediate In Person Interview and Immediate Hire. 
Candidate must be currently authorized and eligible to work in the U.S. for any employer. 
Must be available to begin work in two weeks from date of hire.    "
Floor Plan Measurer: AS-BUILT Drawings $50/hr (NY),https://newyork.craigslist.org/mnh/egr/d/new-york-city-floor-plan-measurer-as/7051593870.html,"New York, NY",$50 per hour plus $10 travel and $10 per diem,part-time,"
        
We have an immediate opening for a floor plan measurer. This is a flexible position for part-time work (contractor). You will set your own schedule and we will fit appointments into your availability (M-F, 9-5 only). 

Applicant must be highly experienced in creating as-built condition drawings (floor plans) of residential and commercial properties in CAD. Applicant must have the ability to create CAD drawings on-site using own laptop and AutoCAD software. Taking measurements on paper and later transferring to CAD drawings is NOT acceptable. Applicant must use a laser tape measure on-site.

Applicant must:
- Have a good understanding of building construction
- Be highly-proficient in CAD
- Have availability during normal weekday business hours: 9-5 to survey properties (please do not apply if you are looking for after-hour or weekend appointments.)
- Have own vehicle to visit properties
- Be reliable and very detail oriented

There are no set number of measurements in a day or week as appointments vary from week to week. We prefer a candidate with lots of availability but can set up as many or as few appointments as desired. This is a great, flexible opportunity for the right candidate.

Compensation: $50 per hr plus $10 travel and $10 per diem

Please send email with your previous work experience and education. 
You must use the following subject line in your email: ""Re: Floor Plan Measurer - New York""    "
Senior Mechanical Design Engineer,https://newyork.craigslist.org/brk/egr/d/brooklyn-senior-mechanical-design/7051599379.html,,Commensurate with experience,full-time,"
        
Senior Mechanical Design Engineer must create and launch six product prototypes and related commercial versions. Senior Mechanical Design Engineer must design an additional three prototypes using Autodesk Inventor, AutoCAD and Autodesk CFD for 3D modeling product design related tasks.
Senior Mechanical Design Engineer must optimize final manufacturing product costs by more than 25% by using python for SKU sizing optimization and use data modeling for ongoing optimization of product and processes. 
In the Research and Development phase of our business, Senior Mechanical Design Engineer oversees development of electrifying gas and oil boilers in NYC in partnership with National Grid & Columbia University. This will help to eliminate the use of fossil fuels for heating in the city and would improve air quality.  
Senior Mechanical Design Engineer performs ongoing modeling simulations of thermodynamic processes.
In the Product/Project Management phase of our business, Senior Mechanical Design Engineer manages relationships with manufacturers, and compiles functional and technical specifications including unique design specifications for various products. Senior Mechanical Design Engineer must also manage and review iterative feedback processes for manufacturing components.
Senior Mechanical Design Engineer oversees and provides technical advice for the installation of large projects including the full retrofit of Providence public housing and Providence public schools in partnership with National Grid.
Daily supervision of 2 subordinate Buildings Engineers; and 3 subcontractors.
Requirements: Bachelor's Degree in Mechanical Engineering plus 1 year progressive postgraduate experience. Radiator Labs, Inc, New York City, NY. Resume to jobs@radiatorlabs.com    "
Architectural Drafter (Mid/Sr),https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-drafter-mid-sr/7051762121.html,Flatiron,Compensation Commensurate with Experience,full-time,"
        
Architecture / Interior Design office located in the NYC Flatiron District specializing in the design of high end custom homes and luxury interiors. We are seeking an Intermediate to Senior Architectural Drafter to work in a small fast-paced office with the firm principal and staff preparing design development and construction drawing sets. Candidates for this position must exhibit a strong design sensibility and knowledge of construction systems and assembly. All candidates must demonstrate proficiency in AutoCad and Revit in all the preparation of 2D and 3D drawings and detailed construction documents including the ability to work on multiple projects and communicate effectively with clients & consultants. Candidates must also comprehend architectural redlines and efficiently produce documents and revisions.

Specific qualifications:
• Professional or Graduate degree in Architecture (desired, not required) with at least 5 years professional experience
• Detail oriented, efficient and adaptable to changing deadlines and priorities
• Must be highly motivated and proactive in fast-paced environment
• Ability to quickly absorb and utilize company-specific techniques, standards and procedures
• AutoCAD & Revit Proficiency Required
• Advanced Sketch-Up, 3D Rendering a plus
• Proficiency in advanced BIM tools
• Translate current AutoCAD standards to Revit
• Strong written and verbal communication skills
• Good interpersonal skills and able to work independently and as part of a team
• Ability accurately measure and document existing conditions
• Experience working on custom homes, retail & corporate offices
• Knowledge of  NYC residential zoning a plus
• Experience in Preparing NYC Department of Building Filing Sets a plus
• US Citizen or have a current work visa for work in the US

Salary: Competitive compensation commensurate with experience

Submit: Resume and Work Samples    "
Interior Designer (Int/Sr),https://newyork.craigslist.org/mnh/egr/d/new-york-interior-designer-int-sr/7051770984.html,Flatiron,Competitive compensation commensurate with experience,full-time,"
        
Architecture / Interior Design office located in the NYC Flatiron District specializing in the design of contemporary high-end custom home interiors. We are currently seeking a professional candidate to work directly with principal who is passionate about contemporary interior design, self-motivated, capable of handling multiple projects efficiently with minimum supervision. Must be creative, innovative, highly detailed-oriented, and have excellent analytical and problem-solving skills.

Responsibilities:
• Perform leadership role designing projects in all phases of design, from programming to contract administration;
• Have a good understanding of interior finishes, materials, furniture, lighting, fixtures, and FF&E schedules and budgets for residential projects;
• Prepare presentation boards, AutoCAD drawings (including electrical & lighting plans), elevations, renderings, specifications, purchase orders and invoices;
• Manage the development of design from initial site measuring until final installations of FF&E;
• Visit job sites to address and resolve construction/installation issues;
• Schedule and conduct Client meetings to keep Clients current on proposed designs;
• Review submittals, shop drawings, substitutions and field conditions for conformance with design intent;
• Coordinate with outside team members such as contractors, vendors, workrooms and R&D companies;
• Track project tasks for multiple projects simultaneously; keep track of invoices, budget and timelines;
• Communicate with vendors, visit showrooms to select samples necessary for presentations.

Required Skills and Experience:
• 3-4 years post-graduate design experience with large experience working in high-end residential interiors projects;
• Bachelor's Degree in Interior Design or Architecture is a must. Master's Degree and/or NCIDQ are a plus;
• Proficiency in AutoCAD, REVIT, Photoshop and Sketchup;
• Excellent writing and communication skills;
• Excellent organizational and teamwork skills, with meticulous attention to detail;
• Must be proactive in anticipating Client questions;
• US Citizen or have a current work visa for work in the US

Salary: Competitive compensation commensurate with experience

Please Submit Resume and Work Samples    "
Top Architectural Metal  + Glass Company looking for drafter/engineer!,https://newyork.craigslist.org/que/egr/d/woodside-top-architectural-metal-glass/7051801345.html,Woodside,"Negotiable, 401K, Profit Sharing.",full-time,"
        
We are one of the top architectural metal and glass fabrication and installation companies in New York.  We work with fortune 500 company clients and the top architects in the city.  We are looking for an engineer that is proficient in CAD, understand construction processes and architectural details.  We are willing to train the right person.  You are self motivated, a problem solver and can work out vague details into something that can be built.   Join our team and enjoy a long term career opportunity, competitive pay and benefits.  Please send your resume along with some sample of your CAD work (the more detailed the better).    "
AutoCad is a requirement.......,https://newyork.craigslist.org/mnh/egr/d/new-york-autocad-is-requirement/7051948263.html,Upper East Side,DOE,full-time,"
        
But if you know AutoCad and have a passion for interior designing and building....WE WILL TRAIN THE RIGHT CANDIDATE!!!

The Renovated Home, a boutique interior design/build firm specializing in high end residential design AND build, is seeking a talented junior architectural designer with exceptional design and communication skills for a full time design position with our team.

We are looking for a talented interior design | architectural graduate to learn all facets of the process of  interior designing and building residential projects.  Additionally helpful is prior experience in detail construction drawings, extensive material knowledge, M.E.P, lighting,

Candidate must be a team player, energetic, motivated, highly organized and a positive attitude.

Requirements:
• Proficient in AutoCAD, Microsoft Office and Photoshop | Indesign
• Strong verbal and written communication skills
• All Applicants Must Be Qualified for U.S. Employment
• Must be available 
• Rendering and sketching skills are a plus
• Interior construction detailing is a plus
• Living within the 5 boroughs is pretty much a requisite as well.

Please send your resume along with your portfolio via email.    "
